query,description,label
I want a lightweight laptop that is cheap.,"tecno Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home) with core i3 processor, 8GB RAM, integrated GPU, priced at $287.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"tecno Tecno Megabook T1 Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home) with core i7 processor, 16GB RAM, integrated GPU, priced at $431.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph) with ryzen 5 processor, 8GB RAM, dedicated GPU, priced at $613.20, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"acer Acer Extensa EX214-53 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home) with core i5 processor, 8GB RAM, integrated GPU, priced at $479.88, 14.0-inch display",0
I want a lightweight laptop that is cheap.,"lenovo Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home) with ryzen 3 processor, 8GB RAM, integrated GPU, priced at $342.96, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"apple Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS) with m1 processor, 8GB RAM, apple GPU, priced at $851.88, 13.3-inch display",0
I want a lightweight laptop that is cheap.,"infinix Infinix INBook Y2 Plus Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home) with core i5 processor, 16GB RAM, integrated GPU, priced at $419.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"asus Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph) with core i5 processor, 8GB RAM, dedicated GPU, priced at $599.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"hp HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home) with core i3 processor, 8GB RAM, integrated GPU, priced at $443.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"infinix Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home) with core i9 processor, 32GB RAM, integrated GPU, priced at $719.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"dell Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11) with core i3 processor, 8GB RAM, integrated GPU, priced at $419.88, 15.6-inch display",0
I want a lightweight laptop that is cheap.,"samsung Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11) with core i5 processor, 16GB RAM, integrated GPU, priced at $779.88, 13.3-inch display",0
